bangumiTitle	aliasJp	aliasSearch
甘城光辉游乐园	甘城ブリリアントパーク	甘城光辉游乐园,甘城ブリリアントパーク,甘城BRILLIANT PARK
电器街的漫画店	デンキ街の本屋さん	デンキ街の本屋さん,电器街的漫画店,电器街上的书店
记录的地平线	ログ・ホライズン	记录的地平线,ログ・ホライズン
记录的地平线 第二季	ログ・ホライズン 第2シリーズ	记录的地平线,ログ・ホライズン,记录的地平线 第二季
魔弹之王与战姬	魔弾の王と戦姫	魔弹之王与战姬,魔弾の王と戦姫
天体的秩序	天体のメソッド	天体的方式,天体的秩序,天体のメソッド
银仙	繰繰れ! コックリさん	银仙,缲缲れ! コックリさん
临时女友		女朋友临时,GFB,GIRLFRIEND BETA,GF(仮),女朋友(仮),ガールフレンド(仮)
我家浴缸的二三事	オレん家のフロ事情	我家浴室的二三事,我家浴室的现况,オレん家のフロ事情
日常系的异能战斗	異能バトルは日常系のなかで	日常系的异能战斗,異能バトルは日常系のなかで
咬屁股虫 第一季		おしりかじり虫,咬屁屁虫
咬屁股虫 第二季		おしりかじり虫 第2シリーズ
TRINITY SEVEN 七人魔法使	トリニティセブン 7人の魔書使い	七人魔法使,トリニティセブン,魔道书7使者
世嘉硬件女孩	Hi☆sCoool! セハガール	HI☆SCOOOL! セハガール
大图书馆的牧羊人	大図書館の羊飼い	大图书馆的牧羊人,大図書館の羊飼い
我，要成为双马尾。	俺、ツインテールになります。	我要成为双马尾,俺、ツインテールになります。
绿林女儿罗妮娅	山賊の娘ローニャ	山賊の娘ローニャ,山贼女儿罗尼雅,山贼的女儿罗尼亚
RWBY		RWBY系列,Ruby Weiss Blake Yang
RWBY 第二季	RWBY Volume 2	RWBY系列,Ruby Weiss Blake Yang
夏恋战机	夏恋戦機	KAREN SENKI,夏恋战机
成为偶像www		成为英雄WWW
HYBIRD CHILD	Hybrid Child	Hybrid Child
HENTAI！	へんたい！	变态！,へんたい！
纳米核心		NANOCORE
功夫兔与菜包狗		KUNG FU BUNNY,功夫兔和菜包狗
猫和老鼠 2014版	The Tom and Jerry Show	TOM AND JERRY,汤姆和杰瑞,TOM & JERRY
猫和老鼠 旧版		TOM AND JERRY,汤姆和杰瑞,TOM & JERRY
中国惊奇先生		
不可能恋爱		可不能恋爱,好传动画,不可能恋爱？
潜行吧！奈亚子 Remember My Love	這いよる! ニャルアニ リメンバー・マイ・ラブ（クラフト先生）	這いよる! ニャルアニ！,潜行吧！奈亚子 Remember My Love
变态王子与不笑猫	変態王子と笑わない猫。	変态王子と笑わない猫,不笑猫,变猫,变态王子
我的朋友很少	僕は友達が少ない	我的朋友很少,僕は友達が少ない,邻人部
我的朋友很少NEXT	僕は友達が少ないNEXT	我的朋友很少,僕は友達が少ない,我的朋友很少NEXT
琴浦小姐	琴浦さん	琴浦さん,琴浦小姐
斩服少女	キルラキル	KILL LA KILL,双斩少女
某科学的超电磁炮	とある科学の超電磁砲	科学超电磁炮,某科学的超电磁炮,とある科学の超電磁砲
某科学的超电磁炮 OVA	OVA とある科学の超電磁砲	科学超电磁炮,某科学的超电磁炮,とある科学の超電磁砲
某科学的超电磁炮S	とある科学の超電磁砲S	科学超电磁炮,某科学的超电磁炮,とある科学の超電磁砲
问题儿童都来自异世界？	問題児たちが異世界から来るそうですよ?	问题儿童都来自异世界,问题儿童
锁锁美同学@提不起劲	ささみさん@がんばらない	ささみさん@がんばらない,锁锁美同学@提不起劲
黄金拼图	きんいろモザイク	きんいろモザイク,黄金拼图,黄金拼图 第一季
魔王勇者	まおゆう魔王勇者	新魔王勇者,向着丘之彼方,「成为我的东西吧勇者」「我拒绝！」,魔王勇者女魔法师外传
翠星之加尔刚蒂亚	翠星のガルガンティア	翠星のガルガンティア,翠星之加尔刚蒂亚,翠星的GARGANTIA
恋爱研究所	恋愛ラボ	恋爱ラボ,LOVE LAB,恋爱LAB
京骚戏画 WEB版2	京騒戯画 第二弾	
京骚戏画 2013版	京騒戯画	京骚戏画,京騒戯画
声优战队VOICESTORM7		
金色时光	虹色デイズ	金色时光,虹色デイズ
天方魔谭MAGI	マギ The labyrinth of magic	マギ,魔奇少年,地上最强阿拉丁魔奇,MAGI,天方魔谭MAGI
天方魔谭MAGI 第二季	マギ The kingdom of magic	マギ,魔奇少年,地上最强阿拉丁魔奇,MAGI,天方魔谭MAGI
夜樱四重奏 1	夜桜四重奏 〜ヨザクラカルテット〜	夜樱四重奏,荆棘之路
夜樱四重奏 花之歌	夜桜四重奏 〜ハナノウタ〜	夜樱四重奏花之歌,荆棘之路
夜樱四重奏 星之海	夜桜四重奏 〜ホシノウミ〜	夜樱四重奏
伽利略少女	ガリレイドンナ	伽利略少女,ガリレイドンナ
武士弗拉明戈	サムライフラメンコ	
DIABOLIK LOVERS	DIABOLIK LOVERS	魔鬼恋人,DIABOLIK LOVERS
少女骑士物语	ワルキューレロマンツェ	ワルキューレロマンツェ,WALKURE ROMANZE
苍蓝钢铁的琶音	蒼き鋼のアルペジオ -アルス・ノヴァ-	苍き钢のアルペジオ,苍蓝钢铁战舰,苍き钢のアルペジオ ーアルス・ノヴァー
核爆默示录	COPPELION	COPPELION
想成为世界最强	世界でいちばん強くなりたい!	想成为世界最强,我想成为世界最强,世界でいちばん强くなりたい！
PHI·BRAIN 神之谜题 第一季	ファイ・ブレイン ～神のパズル	PHI BRAIN,神之谜,神之谜题
