bangumiTitle	aliasJp	aliasSearch
曾几何时天魔的黑兔	いつか天魔の黒ウサギ	曾几何时天魔的黑兔,いつか天魔の黒ウサギ,天魔黑兔
猫神八百万	猫神やおよろず	猫神やおよろず,猫神八百万
R-15	R-15	R-15 ようこそ天才学園へ!
快盗天使TWIN ANGEL		快盗天使ツインエンジェル,快盗天使,快盗天使双胞胎
吸血猫		にゃんぱいあ
DOUBLE-J		だぶるじぇい,JJ萌艺社,传统艺继承部
刀锋战士		BLADE,ブレイド
怪物猎人日记 岌岌可危猫猫村 第一季		
怪物猎人日记 岌岌可危猫猫村 第二季		
A CHANNEL	Aチャンネル	ACHANNEL,A频道,Aチャンネル
A频道+smile	Aチャンネル+smile	ACHANNEL,A频道
赌博默示录	逆境無頼カイジ Ultimate Survivor	赌博默示录,赌博破戒录,赌博堕天录,逆境无赖开司
赌博默示录 破戒录篇	逆境無頼カイジ 破戒録篇	赌博默示录,赌博破戒录,赌博堕天录,逆境无赖开司
架向星空之桥	星空へ架かる橋	星空へ架かる桥
玛莉亚†狂热	まりあ†ほりっく	玛利亚狂热
玛莉亚†狂热 第二季		玛利亚狂热
我们没有翅膀	俺たちに翼はない	俺たちに翼はない
露蒂的玩具	アスタロッテのおもちゃ！	露蒂的玩具,アスタロッテのおもちゃ！
47都道府犬		
战国鬼才传	へうげもの	へうげもの,战国鬼才传
+TIC模型姐妹		+TIC姐姐,模型姐妹
迷糊软网社	そふてにっ	迷糊软网部,迷糊软网社,そふてにっ
和殿下一起 第一季		和主公在一起,和主公搅基
和殿下一起 第二季		和主公在一起,和主公搅基
真的有呀！灵媒先生		ほんとにあった！霊媒先生
30岁的保健体育		
DORORON炎魔君 熊熊燃烧		炎魔君
哈姆太郎 第四季		
X战警	X-MEN	エックスメン,X-MEN
苏希的动物园		
腹黑妹妹控兄记	お兄ちゃんのことなんかぜんぜん好きじゃないんだからねっ!!	お兄ちゃんのことなんかぜんぜん好きじゃないんだからねっ!!
LEVEL E		レベルE,灵异E接触
超元气三姐妹	みつどもえ	みつどもえ,超元气三姐妹
超元气三姐妹 增量中！	みつどもえ 増量中!	みつどもえ,超元气三姐妹 增量中！
放浪男孩	放浪息子	放浪男孩,放浪息子
恶魔奶爸	べるぜバブ	魔王的父亲,恶魔奶爸,べるぜバブ
FRACTALE	フラクタル	フラクタル,FRACTALE,碎之星
STARRY☆SKY	Starry☆Sky	星座彼氏,Starry☆Sky
RIO RAINBOW GATE!	Rio Rainbow Gate!	里欧彩虹之门,Rio Rainbow Gate!
金刚狼		
麻衣的魔法和家庭日		
万能蔬菜卜卜侠		
Angel Beats!	Angel Beats!	エンジェルビーツ AB ,エンジェルビーツ,ANGEL BEATS,天使心跳,ANGEL BEATS！
魔法禁书目录 第一季	とある魔術の禁書目録	某魔法禁书目录,某魔法的禁书目录,新约魔法禁书目录,新约 某魔法的禁书目录
魔法禁书目录 第二季	とある魔術の禁書目録II	某魔法禁书目录,某魔法的禁书目录,新约魔法禁书目录,新约 某魔法的禁书目录
魔法禁书目录 剧场版	とある魔術の禁書目録 エンデュミオンの奇蹟	某魔法禁书目录,某魔法的禁书目录,新约魔法禁书目录,新约 某魔法的禁书目录
会长是女仆大人！	会長はメイド様!	学生会长是女仆,会长是女仆大人
天降之物	そらのおとしもの	天降之物,天空遗落之物,そらのおとしもの
天降之物f	そらのおとしものf	天降之物,天空遗落之物,そらのおとしもの
天降之物Final 我永远的鸟笼	そらのおとしものFinal 永遠の私の鳥籠	天降之物,天空遗落之物,そらのおとしもの,そらのおとしものFinal 永遠の私の鳥籠
吊带袜天使	Panty &amp; Stocking with Garterbelt	PANTY & STOCKING,婊子天使
荒川爆笑团	荒川アンダー ザ ブリッジ	荒川桥下,荒川,荒川爆笑团
荒川爆笑团2	荒川アンダー ザ ブリッジ×ブリッジ	荒川アンダー ザ ブリッジ×ブリッジ,荒川爆笑团
MM一族	えむえむっ！	えむえむっ!,MM!
大神与七位伙伴	オオカミさんと七人の仲間たち	
花丸幼稚园	はなまる幼稚園	花丸幼儿园,はなまる幼稚園
刀语	刀語	刀语,刀語
传说中勇者的传说	伝説の勇者の伝説	传说中勇者的传说,传勇传,伝说の勇者の伝说
尸鬼	屍鬼	尸鬼,屍鬼,SHIKI
迷途猫OVERRUN！		迷途猫,迷い猫オーバーラン!,Mayoi Neko Overrun!,娇蛮猫娘大横行
守护猫娘绯鞠	おまもりひまり	おまもりひまり,守护猫娘绯鞠
女仆咖啡厅	それでも町は廻っている	妹抖咖啡厅,それでも町は廻っている
STAR DRIVER 闪亮的塔科特	STAR DRIVER 輝きのタクト	闪亮的塔科特,闪亮的拓人,輝きのタクト,STAR DRIVER,驭星者,银河美少年
海月姬	海月姫	海月姬,くらげひめ,brainsbase
FORTUNE ARTERIAL -赤之约定-	FORTUNE ARTERIAL -赤い約束-	赤色约定,FORTUNE ARTERIAL,赤之约束,赤之约定,赤色的约定,命运脉动
梦色蛋糕师	夢色パティシエール	梦色蛋糕师,夢色パティシエール
超级机器人大战OG -DIVINE WARS- 第一季		超级机器人大战OG -THE INSPECTOR-,BrainsBase
超级机器人大战OG -DIVINE WARS- 第二季		超级机器人大战OG -THE INSPECTOR-,BrainsBase
咎狗之血	咎狗の血	咎狗の血
钢铁侠		アイアンマン
农业少女		農業ムスメ！
一期一会~你的话语~		
面包咪咪		食パンミミー
强袭魔女1	ストライクウィッチーズ	强袭魔女,ストライクウィッチーズ
强袭魔女2	ストライクウィッチーズ2	强袭魔女,ストライクウィッチーズ
王牌投手 振臂高挥	おおきく振りかぶって	振臂高挥,王牌投手振臂高挥,王牌投手
王牌投手 振臂高挥～夏日大会篇～	おおきく振りかぶって～夏の大会編～	振臂高挥,王牌投手振臂高挥,王牌投手
二舍六房的七人	RAINBOW 二舎六房の七人	二舍六房的七人,少年犯之七人,二舎六房の七人
逆转监督	GIANT KILLING	GIANT KILLING,ジャイアントキリング,逆转监督
无法逃离的背叛	裏切りは僕の名前を知っている	背叛知道我的名字,裏切りは仆の名前を知っている
恋姬†无双	恋姫†無双	恋姫無双
真・恋姬†无双	真・恋姫†無双	
真・恋姬†无双～少女大乱～	真・恋姫†無双～乙女大乱～	恋姬无双,少女大乱
HEROMAN		ヒーローマン
棒球大联盟 第一季		MAJOR
棒球大联盟 第二季		メジャー 第2シリーズ
棒球大联盟 第三季		MAJOR
棒球大联盟 第四季		MAJOR
棒球大联盟 第五季		MAJOR
棒球大联盟 第六季		MAJOR
最强武将传 三国演义		
极上！！超人气委员长		
变身！公主偶像		
交响情人梦	のだめカンタービレ	のだめカンタービレ,交响情人梦
交响情人梦 巴黎篇	のだめカンタービレ 巴里編	のだめカンタービレ,交响情人梦巴黎篇
交响情人梦Finale	のだめカンタービレ フィナーレ	のだめカンタービレ,交响情人梦Finale,交响情人梦 完结篇
由土里酱		ゆとりちゃん
青春CUP	ちゅーぶら!!	ちゅーぶら!!,青春CUP
怪盗丽奈	怪盗レーニャ	怪盗レーニャ,怪盗丽娅
一骑当千	一騎当千	一騎当千,一骑当千
凉宫春日的忧郁 2006版	涼宮ハルヒの憂鬱	凉宫ハルヒの忧郁,すずみやハルヒのゆううつ
凉宫春日的忧郁 2009版	涼宮ハルヒの憂鬱	凉宫ハルヒの忧郁,すずみやハルヒのゆううつ
乃木坂春香的秘密	乃木坂春香の秘密	乃木坂春香の秘密
乃木坂春香的秘密 purezza♪	乃木坂春香の秘密 ぴゅあれっつぁ♪	乃木坂春香の秘密
DARKER THAN BLACK -黑之契约者-	DARKER THAN BLACK -黒の契約者-	黑之契约者,DARKER THAN BLACK
DARKER THAN BLACK -流星的双子-	DARKER THAN BLACK -流星の双子-	黑之契约者,DARKER THAN BLACK,流星的双子
DARKER THAN BLACK -黑之契约者- 外传	DARKER THAN BLACK -黒の契約者- 外伝	黑之契约者,DARKER THAN BLACK
狼与香辛料	狼と香辛料	狼辛,狼と香辛料
狼与香辛料 第二季	狼と香辛料II	狼与香辛料,狼辛,狼と香辛料,brainsbase
潘朵拉之心	Pandora Hearts	潘多拉之心,PANDORA HEARTS
肯普法	けんぷファー	肯普法,けんぷファー,KAMPFER
白色相簿	WHITE ALBUM	WHITE ALBUM,WHITE  ALBUM
东京地震8.0	東京マグニチュード8.0	东京マグニチュード8.0,东京地震8.0
猫愿三角恋	にゃんこい!	猫恋,猫愿三角恋,にゃんこい!
公主恋人！	プリンセスラバー!	
钢之炼金术师	鋼の錬金術師	钢之炼金术师,鋼の錬金術師,钢炼,钢炼03
钢之炼金术师 FULLMETAL ALCHEMIST	鋼の錬金術師 FULLMETAL ALCHEMIST	钢之炼金术师,鋼の錬金術師,Fullmetal Alchemist,钢炼,钢炼FA
钢之炼金术师 剧场版	鋼の錬金術師	Fullmetal Alchemist,鋼の錬金術師
加奈日记	かなめも	かなめも,加奈日记
钢壳都市雷吉欧斯	鋼殻のレギオス	钢壳のレギオス,钢壳之REGIOS
明日的与一	明日のよいち！	明日的与一,明日のよいち！
圣母在上	マリア様がみてる	圣母在上,マリア様がみてる,玛莉亚的凝望
空罐少女	アキカン！	アキカン!,brainsbase,空罐少女
毒蛇信条		
龙之塔 第一季		迷宫塔,德鲁亚加之塔
龙之塔 第二季		迷宫塔,德鲁亚加之塔
黑神	黒神 The Animation	黑神,黒神 The Animation
铁腕女刑警		铁腕巴蒂,铁腕巴迪
RIDEBACK		背骑少女
脆莓公园 第一季	Brickleberry (Season 1)	Brickleberry (Season 1)
脆莓公园 第三季	Brickleberry (Season 3)	Brickleberry 第三季,脆莓公园 第三季
自杀专卖店		THE SUICIDE SHOP
阿修罗	アシュラ	ASURA,阿修罗,アシュラ
生化危机：诅咒		BIOHAZARD: DAMNATION
秀逗魔导士 第一部		SLAYERS,魔剑美神,スレイヤーズ
秀逗魔导士 第二部		スレイヤーズNEXT
秀逗魔导士 第三部		SLAYERS TRY
秀逗魔导士 第四部		SLAYERS,魔剑美神,スレイヤーズ
秀逗魔导士 第五部		SLAYERS,魔剑美神,スレイヤーズ
仰望天空的少女之瞳映射的世界		MUNTO
源氏物语千年纪 Genji	源氏物語千年紀 Genji	源氏物语,源氏物语千年纪,源氏物語千年紀 Genji
科拉蒂每日的笑话		
胡子小鸡		
阿拉德战记	アラド戦記 〜スラップアップパーティー〜	SLAP-UP PARTY,阿拉德战记
BASQUASH!		
魔神Z 本篇		
魔神Z 真魔神 冲击！Z篇		
战场上的女武神	戦場のヴァルキュリア	战场女武神,VC,戦场のヴァルキュリア,SENJOU NO VALKYRIA
神曲奏界POLYPHONICA 第一季	神曲奏界ポリフォニカ	神曲奏界,神曲奏界ポリフォニカ
神曲奏界Polyphonica crimson S	神曲奏界ポリフォニカ クリムゾンS	神曲奏界,神曲奏界ポリフォニカ クリムゾンS
游魂 -Kiss on my Deity-	タユタマ -Kiss on my Deity-	KISS ON MY DEITY,游魂
豹头王传说		
幸运四叶草		四叶游戏
天国少女	花咲ける青少年	天国少女,花咲ける青少年
你好安妮		
夏之岚	夏のあらし!	夏日风暴！,夏之岚,夏のあらし!
夏之岚！ ～春夏冬中～	夏のあらし! ～春夏冬中～	夏日风暴！,夏のあらし! ,第二季
07-GHOST	07-GHOST	07-GHOST,神幻拍档,七鬼神
苍天航路		
天堂餐馆	リストランテ・パラディーゾ	天堂餐馆,リストランテ・パラディーゾ
初恋限定。	初恋限定。	初恋限定,ハツコイリミテッド
川之光		
海物语	うみものがたり～あなたがいてくれたコト～	海物语,うみものがたり
青之花	青い花	青之花,青い花
NEEDLESS	NEEDLESS	NEEDLESS,死刑判决
大正野球娘		大正棒球娘
GA 艺术科美术设计班	GA 芸術科アートデザインクラス	
战斗司书	戦う司書 The Book of Bantorra	战斗司书,戦う司書,The Book of Bantorra
天体战士 第一季		天体戦士サンレッド,天体战士桑雷德
天体战士 第二季		天体戦士サンレッド,天体战士桑雷德
圣剑锻造师	聖剣の刀鍛冶	
喵丸侦探基鲁敏		
小鸠	こばと。	小鸠,こばと。
轻声密语	ささめきこと	轻声密语,ささめきこと
青涩文学		
空中秋千	空中ブランコ	空中ブランコ
魔力女管家 第一季		まほろまてぃっく
冬季恋歌		
轻音少女 小剧场		轻音,けいおん！,K-ON！,K-ON
CLANNAD	CLANNAD -クラナド-	
CLANNAD ～AFTER STORY～	CLANNAD ～AFTER STORY～	
CLANNAD 剧场版	劇場版 CLANNAD -クラナド-	
CLANNAD ～AFTER STORY～另一个世界 杏篇	CLANNAD ～AFTER STORY～もうひとつの世界 杏編	
悠久之翼	ef - a tale of memories.	悠久之翼,EF-THE FIRST TALE,EF-THE LATTER TALE,EF-A TALE OF MEMORIES,EF-A TALE OF MELODIES
悠久之翼2	ef - a tale of melodies.	悠久之翼,EF-THE FIRST TALE,EF-THE LATTER TALE,EF-A TALE OF MEMORIES,EF-A TALE OF MELODIES
Code Geass 反叛的鲁路修	コードギアス 反逆のルルーシュ	叛逆的鲁鲁修,叛逆的勒鲁什,Code Geass,反叛的鲁路修
Code Geass 反叛的鲁路修R2	コードギアス 反逆のルルーシュR2	叛逆的鲁鲁修,叛逆的勒鲁什,Code Geass,反叛的鲁路修
神薙	かんなぎ	神剃,かんなぎ,神薙
超时空要塞 Macross	超時空要塞マクロス	MACROSS,マクロスシリーズ,超时空要塞
超时空要塞 7	マクロス7	MACROSS,マクロスシリーズ,超时空要塞 7
超时空要塞 Frontier	マクロスFrontier	MACROSS,マクロスシリーズ,超时空要塞 Frontie
染红的街道	あかね色に染まる坂	
图书馆战争		図書館戦争
红 Kurenai	紅 Kurenai	红,红 Kurenai,紅 KURENAI
食灵-零-	喰霊-零-	食灵 零,食灵-零-,喰霊,喰霊-零-
H2O 赤砂的印记	H2O -FOOTPRINTS IN THE SAND-	
超智游戏		ONE OUTS - ワンナウツ
亡念之扎姆德		亡念のザムド
华丽的挑战	スキップ・ビート!	スキップビート！,华丽的挑战
深渊传说	テイルズ オブ ジ アビス	テイルズ オブ ジ アビス,TALES OF THE ABYSS
吸血鬼骑士	ヴァンパイア騎士	吸血鬼骑士,ヴァンパイア骑士,VAMPIRE KNIGHT
今天的5年2班	今日の5の2	今天的五年二班,今日的五年二班,今日の5の2
再造人卡辛		再造人卡夏
伯爵与妖精	伯爵と妖精	伯爵と妖精,伯爵与妖精
武装机甲	鉄のラインバレル	鉄のラインバレル,武装机甲
钢铁新娘	ケメコデラックス!	钢铁新娘,ケメコデラックス!
白虎	ヒャッコ	虎子,ヒャッコ,白虎
北斗神拳 第一季		北斗の拳,北斗之拳
北斗神拳 第二季		北斗の拳2,世紀末救世主伝説
北斗神拳 外传		北斗の拳,北斗之拳
黑塚	黒塚 KUROZUKA	黒塚 KUROZUKA
野良耳		のらみみ
无限之住人	無限の住人	无限之住人
药师寺凉子的怪奇事件簿	薬師寺涼子の怪奇事件簿	药师寺凉子,药师寺凉子的怪奇事件簿,薬師寺涼子の怪奇事件簿
西洋古董洋果子店	西洋骨董洋菓子店～アンティーク～	
毁灭世界的六人	ワールド・デストラクション 世界撲滅の六人	世界撲滅の六人,毁灭世界的六人
魔法使的注意事项	魔法遣いに大切なこと	魔法遣いに大切なこと,魔法使的注意事项
魔法使的注意事项 夏季的天空	魔法遣いに大切なこと 〜夏のソラ〜	魔法遣いに大切なこと 夏のソラ,魔法使的注意事项 夏季的天空
电波少女 第一部		MISSION-E,CODE-E
电波少女 第二部		MISSION-E,CODE-E
海马	カイバ	カイバ,海马
×××HOLiC	×××HOLiC	四月一日灵异事件簿,×××HOLiC
艾莉森与莉莉亚		アリソンとリリア
恶作剧之吻	イタズラなKiss	一吻定情,LOVE IN TOKYO,一吻定情2013
S.A特优生	S・A～スペシャル・エー～	S.A 优等生,S・A～スペシャル・エー～
二十面相少女	二十面相の娘	二十面相の娘,二十面相少女
我家有个狐仙大人	我が家のお稲荷さま。	我が家のお稲荷さま。,我が家のお稲荷さま
RD潜脑调查室	RD 潜脳調査室	RD潜脳調査室 アールディー,RD潜脑调查室
雨月	あまつき	あまつき,雨月
苍色骑士	BLASSREITER	BLASSREITER,苍色骑士
骷髅13		GOLGO13杀手,ゴルゴ13,杀手
狂乱家族日记		狂乱家族日記
假面女仆卫士	仮面のメイドガイ	仮面のメイドガイ,假面女仆卫士
幻影少年	モノクローム・ファクター	幻影少年,モノクローム・ファクター
企鹅娘		ペンギン娘はぁと
水晶之焰		クリスタル ブレイズ
偶像宣言 第一季		星梦天使,花漾明星KIRARIN,偶像革命
偶像宣言 第二季		星梦天使,花漾明星KIRARIN,偶像革命
星之海的爱玛丽		
死后文	シゴフミ	死后文,シゴフミ,亡者之信
你是主人我是仆	君が主で執事が俺で	你是主啊我是仆,君が主で執事が俺で
神枪少女	GUNSLINGER GIRL	神枪少女,枪姬,GUNSLINGER GIRL,ガンスリンガーガール
神枪少女 -IL TEATRINO-	GUNSLINGER GIRL -IL TEATRINO-	神枪少女,枪姬,GUNSLINGER GIRL,ガンスリンガーガール
破天荒游戏	破天荒遊戯	破天荒游戏
威尔贝鲁物语		
BUS GAMER		
全力兔子		全力ウサギ
濑户的花嫁	瀬戸の花嫁	
精灵守护者		精灵的守护人,精霊の守り人
奔向地球		地球へ…
英雄时代		ヒロイック・エイジ
魔女猎人	エル・カザド	エル・カザド,魔女猎人
大江户火箭		大江戸ロケット
机神大战巨型方程式		機神大戦ギガンティックフォーミュラ,
偶像大师 XENOGLOSSIA		アイドルマスター
青空下的约定	この青空に約束を	この青空に約束を,青空下的约定
蓝龙		BLUE DRAGON
鬼太郎		ゲゲゲの鬼太郎,GE GE GE的鬼太郎
星界死者之书	キスダム -ENGAGE planet-	キスダム -ENGAGE PLANET,星界死者之书
钢铁神吉克		鋼鉄神ジーグ
爆裂天使	ばくれつてんし	爆裂天使,ばくれつてんし
爆裂天使-INFINITY-	爆裂天使 ~インフィニティ~	爆裂天使,ばくれつてんし
天元突破 红莲螺岩	劇場版 天元突破グレンラガン 紅蓮螺巌篇	天元突破グレンラガン,天元突破
幸运星	らき☆すた	幸运星,らき☆すた
电脑线圈	電脳コイル	电脑线圈,電脳コイル
地球防卫少年	ぼくらの	地球便当少年
SOLA	sola	sola
蓝兰岛漂流记	ながされて藍蘭島	ながされてあいらんとう,蓝兰岛漂流记
怪物王女	怪物王女	怪物王女
光明之泪X风	シャイニング・ティアーズ・クロス・ウィンド	光明之泪,シャイニング ティアーズ,Shining Tears × Wind
小女神花铃	かみちゃまかりん	花铃的魔法戒CHU,かみちゃまかりん,小女神花铃
钢铁三国志		
桃华月惮	桃華月憚	桃华月惮
兽装机攻断空我NOVA		獣装機攻ダンクーガ ノヴァ
银河铁道物语		銀河鉄道物語
月光之旅		
悲惨世界 少女珂赛特	レ・ミゼラブル 少女コゼット	悲惨世界 少女珂赛特,レ・ミゼラブル 少女コゼット
校园乌托邦 学美向前冲！	がくえんゆーとぴあ まなびストレート!	校园乌托邦 学美向前冲！,がくえんゆーとぴあ まなびストレー
火箭女孩		
冬日花园		
东京魔人学园剑风帖 龙龙 第一季		
东京魔人学园剑风帖 龙龙 第二季		
神圣十月	Saint October	神圣十月,Saint October
月面兔兵器米娜		
新勇者莱汀		
VENUS VERSUS VIRUS 除魔维纳斯		VENUS VERSUS VIRUS,除魔维纳斯,维纳斯VS魔人
向日葵！ 第一季		忍者少女
向日葵！ 第二季		忍者少女
FLAG		
神灵狩	神霊狩/GHOST HOUND	神霊狩／GHOST HOUND,神灵狩
紫音之王	しおんの王	しおんの王,紫音之王
魔人侦探食脑奈罗		魔人探侦脳噛ネウロ
出租魔法使	レンタルマギカ	レンタルマギカ,魔法人力派遣公司,魔法使派遣会社
龙鸣		ドラゴノーツ -ザ・レゾナンス-
PRISM ARK	PRISM ARK	プリズムアーク,PRISM ARK
BLUE DROP 天使们的戏曲	BLUE DROP ～天使達の戯曲～	BLUE DROP,天使们的戏曲,百合
竹刀少女	バンブーブレード -BAMBOO BLADE-	BAMBOO BLADE,竹刀少女
MYSELF;YOURSELF		MYSELF;YOURSELF,マイセルフ ユアセルフ
逮捕令 第一季		警花逮捕令,たいほしちゃうぞ
逮捕令 第二季		逮捕しちゃうぞ 
逮捕令 第三季		警花逮捕令,たいほしちゃうぞ
逮捕令 OVA		警花逮捕令,たいほしちゃうぞ
素描簿	スケッチブック ～full color's～	素描本,スケッチブック ～full color's～
请别忧伤了二之宫君	ご愁傷さま二ノ宮くん	请别忧伤了二之宫君,ご愁傷さま二ノ宮くん,二之宫君
暗夜魔法使	ナイトウィザード The ANIMATION	暗夜魔法使,ナイトウィザード The ANIMATION
魂兽		AYAKASHI
MAPLESTORY		MXD,冒险岛,枫之谷
物怪	もっけ	もっけ,物怪
海绵宝宝 第四季		スポンジ・ボブ
萌单		もえたん
铁子之旅		鉄子の旅
永生之酒	BACCANO! （バッカーノ!）	永生之酒,BACCANO!,バッカーノ!,brain'sbase
天翔少女		スカイガールズ
扑杀天使 第一季		扑杀天使朵库萝
扑杀天使 第二季		撲殺天使ドクロちゃん2,扑杀天使朵库 第二季
僵尸借贷	ZOMBIE-LOAN	僵尸借贷,ZOMBIE-LOAN
零秒出手		BUZZER BEATER
KANON/华音	Kanon 東映版	雪之少女,华音,KANON,カノン
KANON/华音	Kanon	雪之少女,华音,KANON,カノン
家庭教师HITMAN REBORN!	家庭教師ヒットマンREBORN!	家庭教师,家庭教师HITMANREBORN,家庭教师杀手里包恩,家庭教师REBORN
少女爱上姐姐 	乙女はお姉さまに恋してる	少女爱上姐姐,乙女爱上姐姐,処女はお姉さまに恋してる,OTOBOKU
少女爱上姐姐 OVA 2人的Elder	乙女はお姉さまに恋してる 2人のエルダー	少女爱上姐姐,処女はお姉さまに恋してる,OTOBOKU
黑礁	BLACK LAGOON	BLACK LAGOON,企业佣兵
黑礁 第二季	BLACK LAGOON The Second Barrage	BLACK LAGOON,企业佣兵,黑礁
黑礁 第三季 Roberta’s Blood Trail	BLACK LAGOON Roberta’s Blood Trail	BLACK LAGOON,企业佣兵,黑礁
我们的存在	僕等がいた	我们的存在,僕等がいた,曾经的我们
蜂蜜与四叶草 电视剧		ハチミツとクローバー
传颂之物	うたわれるもの	うたわれるもの,受讚頌者,UTAWARERUMONO
惊爆草莓	ストロベリー・パニック	STRAWBERRY PANIC!,草莓危机
魔界战记 迪斯凯亚	魔界戦記ディスガイア	魔界战记,迪斯凯亚
仰望半月的夜空	半分の月がのぼる空	仰望半月的夜空,半分の月がのぼる空,上弦月的天空
复苏的天空 -救援之翼-	よみがえる空 -RESCUE WINGS-	复苏的天空,救援之翼
备长炭	びんちょうタン	备长炭
死神的歌谣	しにがみのバラッド。	死神的歌谣,しにがみのバラッド。
怪 〜AYAKASHI〜	怪 〜AYAKASHI〜	怪 AYAKASHI,怪 〜AYAKASHI〜,化猫
甜蜜声优	REC	甜蜜声优,REC
女生爱女生	かしまし 〜ガール・ミーツ・ガール〜	かしまし ガールミーツガール
阴守忍者	陰からマモル!	陰からマモル！
落语天女	落語天女おゆい	落語天女おゆい,落语天女
键姬物语 永久爱丽丝轮舞曲		鍵姫物語 永久アリス輪舞曲
柠檬天使计划	LEMON ANGEL PROJECT	柠檬天使计划,LEMON ANGEL PROJECT
结界师		
奇幻贵公子	ゴーストハント	奇幻贵公子,ゴーストハント
樱兰高校男公关部	桜蘭高校ホスト部	桜兰高校ホスト部
武装炼金	武装錬金	武装炼金,武装錬金
南瓜剪刀		陆军情报部三科
心跳回忆 ONLY LOVE	ときめきメモリアル Only Love	心跳回忆 ONLY LOVE,ときめきメモリアル Only 
工作狂人		働きマン
后天的方向	あさっての方向	后天的方向,あさっての方向
赐予护女神的祝福	護くんに女神の祝福を!	赐予护女神的祝福,護くんに女神の祝福を!
天保异闻妖奇士		
魔法先生捏吉！	魔法先生ネギま!	魔法老师涅吉,魔法老师涅吉！,涅吉！？
魔法老师涅吉!?	ネギま!?	魔法老师涅吉,魔法老师涅吉！,涅吉！？,ネギま!?
调酒师		
永不消失的彩虹		
夜明前的琉璃色	夜明け前より瑠璃色な ～Crescent Love～	夜明け前より瑠璃色な,更胜夜明前的琉璃色,夜明前的琉璃色
不公正抽签		不平衡抽签,KUJIBIKI UNBALANCE
Happiness!	はぴねす!	はぴねす！,爱与魔法,Happiness!
月桂树的王子们	マージナルプリンス ～月桂樹の王子達～	
苍天之拳		
甜蜜偶像	らぶドル ～Lovely Idol～	甜蜜偶像,らぶドル ～Lovely Idol～
银色的奥林西斯		
流星之洛克人		
东京暴走族		
兽爪		
贫穷姐妹物语	貧乏姉妹物語	びんぼうしまいものがたり,贫穷姐妹物语
童话枪手小红帽		
黑血兄弟		
无罪的维纳斯	イノセント・ヴィーナス	无罪的维纳斯,イノセント・ヴィーナス
娇蛮之吻	つよきす Cool×Sweet	娇蛮之吻,つよきす Cool×Sweet
恋之魔法波波糖		MAMOTTE LOLLIPOP,开心魔法变
太阳默示录		
莉莉和青蛙和弟弟		
ZEGAPAIN		ZEGAPAIN
校园迷糊大王	スクールランブル	SCHOOL RUMBLE,恶搞校园,喧嚣学院,スクールランブル,校园迷糊大王
魔女之刃	ウィッチブレイド	魔女之刃,ウィッチブレイド
我的女神	ああっ女神さまっ	我的女神,ああっ女神さまっ,幸运女神,幸運女神
我的女神 缤纷之翼	ああっ女神さまっ それぞれの翼	我的女神,ああっ女神さまっ,幸运女神,幸運女神,我的女神 缤纷之翼
我的女神 OVA	ああっ女神さまっ OVA	我的女神,ああっ女神さまっ,幸运女神,幸運女神
妖逆门		
炼金三级魔法少女	錬金3級 まじかる?ぽか～ん	
神样家族	神様家族	神样家族
犬神！		
兽王星	獣王星	兽王星
西蒙 SIMOUN		
翼·年代记	ツバサ・クロニクル	ツバサ,TSUBASA翼,TSUBASA,翼年代记
翼·年代记 第二部	ツバサ・クロニクル 第2シリーズ	ツバサ,TSUBASA翼,TSUBASA,翼年代记,翼·年代记
公主公主	プリンセス・プリンセス	公主公主,プリンセス・プリンセス,变身男孩
学园天堂	学園ヘヴン	学园天堂,学園ヘヴン
飞轮少年	エア·ギア	飞轮少年
玻璃舰队		
暗夜第六感	NIGHT HEAD GENESIS	暗夜第六感,暗夜起源
苍之瞳的少女	ザ・サード 〜蒼い瞳の少女〜	苍之瞳的少女,ザ・サード 〜蒼い瞳の少女〜
机神咆吼	機神咆吼デモンベイン	机神咆吼,機神咆吼デモンベイン
魂链		
梦使		
不可思议星球的双胞胎公主 第一季		神秘星球孪生公主,不可思议星球的孪生公主,双子星公主
格斗美神武龙		
声优白皮书		
小心啊公主		公主请小心
洛克人EXE		ロックマンエグゼ
怪医美女RAY		
女子高中生		
女子高中生		
圣剑使的禁咒咏唱	聖剣使いの禁呪詠唱	聖剣使いの禁呪詠唱
Falcom学园	みんな集まれ! ファルコム学園	みんな集まれ！ファルコム学園
大家集合！Falcom学园 2期	みんな集まれ! ファルコム学園 SC	みんな集まれ！ファルコム学園第2期,大家集合起来！FALCOM学园 第二季
纯洁的玛利亚	純潔のマリア	纯洁的玛利亚,純潔のマリア
夜之小双侠	夜ノヤッターマン	夜ノヤッターマン,夜之小双侠
无头骑士异闻录×2 承	デュラララ!!×2 承	デュラララ!!×2 承
偶像大师 灰姑娘女孩	アイドルマスター シンデレラガールズ	アイドルマスター シンデレラガールズ,偶像大师灰姑娘女孩
铳皇无尽的法夫纳	銃皇無尽のファフニール	銃皇無尽のファフニール
路人女主的养成方法	冴えない彼女の育てかた	路人女主的养成方法,不起眼女主角培育法,冴えない彼女の育てかた
军人少女	みりたり!	军人少女,みりたり！
血型君2	血液型くん!2	血液型くん！2
美男高校地球防卫部LOVE！	美男高校地球防卫部LOVE！,美男高校地球防衛部LOVE！,美男高校	美男高校地球防卫部LOVE！,美男高校地球防衛部LOVE！
元气少女缘结神◎	神様はじめました◎	元气少女缘结神,神様はじめました
